cappun,,
Year,Percent_Support,Number_Executions
1972,52.72,0
1973,60.07,0
1974,63.31,0
1975,60.11,0
1976,66.43,0
1977,67.93,1
1978,66.86,0
1980,68.26,0
1982,74.18,2
1983,74.02,5
1984,72.3,21
1985,75.38,18
1986,71.65,18
1987,69.42,25
1988,71.77,11
1989,73.84,16
1990,74.76,23
1991,72.25,14
1993,72.6,38
1994,75.5,31
1996,72.51,45
1998,68.99,68
2000,65.44,85
2002,67.17,71
2004,63.94,59
2006,65.52,53
2008,63.88,37
2010,64.78,46
2012,62.67,43
2014,62.32,35
2016,58.39,20
2018,60.75,25
2021,56.36,11
2022,58.53,18
